Country;GDP;Unemployment;Average life expectancy;Constitutional form;GDP per capita;Ec active population;Birth rate
Afghanistan;20191760000;11;64;Republic;556;27,4074619;33
Albania;13019693451;14;78;Republic;4531;45,82873521;12
Argentina;6,43E+11;8;76;Republic;14592;45,48837092;17
Armenia;11527458566;18;75;Republic;3915;44,26952648;14
Australia;1,33E+12;6;83;Constitutional monarchy;54066;52,79711778;13
Austria;4,18E+11;5;82;Republic;47549;51,90916442;10
Azerbaijan;40865558912;5;73;Republic;4147;51,08428194;15
Bahamas;12150400000;10;74;Constitutional monarchy;31827;57,58445729;14
Bangladesh;2,50E+11;4;72;Republic;1564;42,24629077;19
Barbados;4978000000;10;79;Constitutional monarchy;17391;54,21003169;11
Belarus;54726595249;6;74;Republic;5762;53,66261666;11
Belgium;5,04E+11;7;81;Constitutional monarchy;44289;44,28426401;11
Belize;1836600000;7;74;Constitutional monarchy;4888;44,80012987;21
Benin;12701656931;2;61;Republic;1137;40,58777808;37
Bhutan;2450364928;2;71;Constitutional monarchy;3287;48,89654599;17
Bosnia and Herzegovina;18080118128;21;77;Republic;5395;39,65237338;8
Brazil;2,06E+12;13;75;Republic;9925;50,16541893;14
Bulgaria;58950125036;6;75;Republic;8331;47,44467419;9
Burkina Faso;14169905602;6;61;Republic;738;36,51841446;38
Cabo Verde;1769787215;12;73;NA;3293;42,57437716;20
Cameroon;35009262788;3;59;Republic;1425;43,56937798;36
Canada;1,65E+12;6;82;Constitutional monarchy;45149;55,17999856;10
Chile;2,77E+11;7;80;Republic;14999;49,85611874;13
China;1,23E+13;4;76;Republic;8879;56,61009178;12
China, Hong Kong Special Administrative Region;3,41E+11;3;85;Republic;46166;53,60175602;8
China, Macao Special Administrative Region;50751059058;2;84;Republic;81517;61,31066441;11
Colombia;3,12E+11;9;77;Republic;6378;52,88256497;15
Costa Rica;58481858043;8;80;Republic;11815;47,20807506;14
Croatia;55319605061;11;78;Republic;13412;44,15939655;9
Cyprus;22638608224;11;81;Republic;26339;51,80074257;11
Czechia;2,16E+11;3;79;NA;20380;51,15461528;11
Denmark;3,29E+11;6;81;Constitutional monarchy;57141;51,80437747;11
Dominican Republic;79997975622;6;74;Republic;7609;46,02436705;20
Ecuador;1,04E+11;4;77;Republic;6214;49,48207548;20
El Salvador;24979200000;4;73;Republic;3910;42,94783349;18
Estonia;26859101054;6;78;Republic;20388;53,41525326;11
Eswatini;4446248676;23;58;Absolute monarchy;3953;32,03681164;27
Finland;2,55E+11;9;82;Republic;46317;49,1873591;9
France;2,60E+12;9;83;Republic;38812;45,22057402;12
Germany;3,67E+12;4;81;Republic;44350;52,37185472;10
Ghana;58998132330;4;63;Republic;2026;42,25191097;30
Greece;2,04E+11;21;81;Republic;18930;44,74734206;8
Guatemala;71612352781;2;74;Republic;4451;40,39639549;25
Guinea-Bissau;1346841897;3;58;Republic;737;41,36228726;36
Guyana;3555205811;12;70;Republic;4586;40,15925781;20
Honduras;23136232230;6;75;Republic;2454;45,32269708;22
Hungary;1,42E+11;4;76;Republic;14458;48,16474638;10
Iceland;24488176540;3;83;Republic;71311;61,322947;12
India;2,65E+12;5;69;Republic;1982;36,17290062;18
Indonesia;1,02E+12;4;71;Republic;3838;48,97943926;18
Ireland;3,36E+11;7;82;Republic;69822;48,75961749;13
Israel;3,53E+11;4;83;Republic;40542;46,19181022;21
Italy;1,96E+12;11;83;Republic;32407;42,9258832;8
Jamaica;14806340821;12;74;Constitutional monarchy;5069;50,56622158;16
Japan;4,87E+12;3;84;Constitutional monarchy;38387;53,07249676;8
Jordan;40708943662;15;74;Constitutional monarchy;4163;25,6313903;23
Kazakhstan;1,67E+11;5;73;Republic;9248;49,91607613;22
Kenya;78965004656;3;66;Republic;1572;44,60447028;29
Kyrgyzstan;7702934800;7;71;Republic;1243;40,82995063;25
Latvia;30273007510;9;75;Republic;15587;51,6766139;11
Lebanon;53140638269;6;79;Republic;7801;34,49261312;18
Lithuania;47750908128;7;75;Republic;16883;51,93524402;10
Luxembourg;64181944723;6;82;Constitutional monarchy;107627;49,2428765;10
Malta;12747857570;4;82;Republic;27239;47,76869181;9
Mauritius;13259351418;7;75;Republic;10485;48,08830844;11
Mexico;1,16E+12;3;75;Republic;9278;44,18423575;18
Mongolia;11425755280;6;70;Republic;3669;41,96919563;25
Montenegro;4856632399;16;77;Republic;7803;43,60198788;12
Morocco;1,10E+11;9;76;Constitutional monarchy;3036;33,0032657;19
Netherlands;8,34E+11;5;82;Constitutional monarchy;48675;53,18435336;10
New Zealand;2,05E+11;5;82;Constitutional monarchy;42849;56,24524917;12
Norway;3,98E+11;4;83;Constitutional monarchy;75497;52,35851345;11
Oman;70600000000;3;77;Absolute monarchy;15131;55,76129972;20
Pakistan;3,05E+11;4;67;Republic;1465;33,96018155;29
Panama;62219000000;4;78;Republic;15150;47,1697594;19
Paraguay;39008900332;5;74;Republic;5681;49,60412473;21
Peru;2,11E+11;3;76;Republic;6711;56,64270058;18
Philippines;3,28E+11;3;71;Republic;3123;40,89235359;21
Poland;5,26E+11;5;78;Republic;13861;48,56817777;11
Portugal;2,21E+11;9;81;Republic;21490;50,95628283;8
Puerto Rico;1,03E+11;11;80;NA;31109;33,3070599;7
Republic of Korea;1,62E+12;4;83;Republic;31617;54,73128327;7
Republic of Moldova;9669759987;4;72;Republic;3510;35,64684857;10
Republic of North Macedonia;11307058382;22;76;Republic;5431;45,97299899;11
Romania;2,12E+11;5;75;Republic;10808;46,5019408;10
Russian Federation;1,57E+12;5;72;Republic;10720;51,33957001;12
Saudi Arabia;6,89E+11;6;75;Absolute monarchy;20804;41,81232223;18
Serbia;44120425320;13;76;Republic;6284;45,85215938;9
Singapore;3,42E+11;4;83;Republic;60914;62,31160641;9
Slovakia;95481955558;8;77;Republic;17554;50,77959535;11
Slovenia;48561672401;7;81;Republic;23501;49,80265081;10
South Africa;3,50E+11;27;64;Republic;6132;39,81897091;21
Spain;1,31E+12;17;83;Constitutional monarchy;28170;49,46438792;8
Sri Lanka;87428125558;4;77;Republic;4077;41,23215352;16
Suriname;3210064506;7;71;Republic;5627;37,23041003;19
Sweden;5,41E+11;7;82;Constitutional monarchy;53792;53,05390955;12
Switzerland;6,80E+11;5;84;Republic;80450;58,21017672;10
Thailand;4,56E+11;1;77;Constitutional monarchy;6593;55,61426524;11
Turkey;8,53E+11;11;77;Republic;10514;39,40055061;16
Uganda;30756466548;2;63;Republic;747;37,13522745;39
Ukraine;1,12E+11;10;72;Republic;2641;45,972936;9
United Arab Emirates;3,86E+11;2;78;Absolute monarchy;40645;70,37140451;10
United Kingdom (England and Wales);2,67E+12;4;81;Constitutional monarchy;40361;51,49047306;11
United States of America;1,95E+13;4;79;Republic;59958;50,54626723;12
Uruguay;59530088536;8;78;Republic;17322;50,87143104;14
Uzbekistan;59159945321;6;71;Republic;1827;46,44235935;22
Venezuela (Bolivarian Republic of);2,02E+11;7;72;Republic;6872,990437;44,04524619;18
