"";"GDP";"Unemployment";"Average.life.expectancy";"Constitutional.form";"GDP.per.capita";"Ec.active.population";"Birth.rate"
"1";23,7285404373392;2,39789527279837;64;2;6,32076829425058;27,4074619;33
"2";23,2897289289796;2,63905732961526;78;2;8,41869794466714;45,82873521;12
"3";27,189410561184;2,07944154167984;76;2;9,58822871231411;45,48837092;17
"4";23,1679977276774;2,89037175789616;75;2;8,2725706084249;44,26952648;14
"5";27,9162000581622;1,79175946922805;83;1;10,8979608014631;52,79711778;13
"7";24,4335534648551;1,6094379124341;73;2;8,33014046024638;51,08428194;15
"8";23,2206279280018;2,30258509299405;74;1;10,3680702651274;57,58445729;14
"9";26,2447267548087;1,38629436111989;72;2;7,35500192110526;42,24629077;19
"10";22,3282940408918;2,30258509299405;79;1;9,76370811000784;54,21003169;11
"12";26,9458421050178;1,94591014905531;81;1;10,6984916182022;44,28426401;11
"13";21,3311818731437;1,94591014905531;74;1;8,49453850085143;44,80012987;21
"14";23,2649982889087;0,693147180559945;61;2;7,03614849375054;40,58777808;37
"15";21,6195028006151;0,693147180559945;71;1;8,09773057366422;48,89654599;17
"16";23,6180787255174;3,04452243772342;77;2;8,59322787769223;39,65237338;8
"17";28,35372709873;2,56494935746154;75;2;9,20281210555539;50,16541893;14
"18";24,7999575849793;1,79175946922805;75;2;9,02773877597491;47,44467419;9
"19";23,3743862288061;1,79175946922805;61;2;6,60394382460047;36,51841446;37,9817970475165
"20";21,2941251587913;2,484906649788;73;2;8,09955428237636;42,57437716;20
"21";24,2788785145076;1,09861228866811;59;2;7,26192709270275;43,56937798;36
"23";26,3472833431337;1,94591014905531;80;2;9,61573881119536;49,85611874;13
"25";26,5551483142299;1,09861228866811;85;2;10,7399988754039;53,60175602;8
"26";24,6501983227885;0,693147180559945;84;2;11,3085668664344;61,31066441;11
"27";26,4662690247559;2,19722457733622;77;2;8,76060984757;52,88256497;15
"28";24,7919824241643;2,07944154167984;80;2;9,37712518962101;47,20807506;14
"29";24,7363932045454;2,39789527279837;78;2;9,50390510758612;44,15939655;9
"31";26,0985442446306;1,09861228866811;79;2;9,92230930677672;51,15461528;11
"33";25,1052671665751;1,79175946922805;74;2;8,93708703617652;46,02436705;20
"34";25,3676567360878;1,38629436111989;77;2;8,73456008995299;49,48207548;20
"35";23,9413093155105;1,38629436111989;73;2;8,27129265297941;42,94783349;18
"37";22,2153265834479;3,13549421592915;58;0;8,28223006329669;32,03681164;27
"38";26,2645293821048;2,19722457733622;82;2;10,74326434331;49,1873591;9
"39";28,586532560956;2,19722457733622;83;2;10,5664847561452;45,22057402;12
"40";28,931212777995;1,38629436111989;81;2;10,6998679877377;52,37185472;10
"41";24,8007716249274;1,38629436111989;63;2;7,61381868480863;42,25191097;30
"42";26,0413858307906;3,04452243772342;81;2;9,84850324420337;44,74734206;8
"44";21,0210283533209;1,09861228866811;58;2;6,60258789218934;41,36228726;36
"45";21,9916787919155;2,484906649788;70;2;8,43076346341785;40,15925781;20
"47";25,6790928945477;1,38629436111989;76;2;9,57900317356024;48,16474638;10
"48";23,9214562478089;1,09861228866811;83;2;11,1748058722027;61,322947;12
"49";28,6055807559267;1,6094379124341;69;2;7,59186171488993;36,17290062;18
"50";27,6508237432247;1,38629436111989;71;2;8,25270667656764;48,97943926;18
"51";26,5403769969096;1,94591014905531;82;2;11,1537044253361;48,75961749;13
"52";26,5897338938797;1,38629436111989;83;2;10,6100937527802;46,19181022;21
"54";23,4183213598163;2,484906649788;74;1;8,53089883847235;50,56622158;16
"56";24,4297136512494;2,70805020110221;74;1;8,33399124719497;25,6313903;23
"58";25,0922706122313;1,09861228866811;66;2;7,36010397298915;44,60447028;29
"60";24,1335223111727;2,19722457733622;75;2;9,65419251248905;51,6766139;11
"61";24,6962077882899;1,79175946922805;79;2;8,96200720958831;34,49261312;18
"62";24,5892639220797;1,94591014905531;75;2;9,73406247747719;51,93524402;10
"63";24,8849877732442;1,79175946922805;82;1;11,5864268246003;49,2428765;10
"64";23,2686290607061;1,38629436111989;82;2;10,2124050488701;47,76869181;9
"65";23,3079689078382;1,94591014905531;75;2;9,25770094333602;48,08830844;11
"67";23,1591358792003;1,79175946922805;70;2;8,20767442435528;41,96919563;25
"68";22,3036111126609;2,77258872223978;77;2;8,96226355411676;43,60198788;12
"69";25,4237462027388;2,19722457733622;76;1;8,01829613851552;33,0032657;19
"70";27,4494992393052;1,6094379124341;82;1;10,7929208302404;53,18435336;10
"71";26,0462758160848;1,6094379124341;82;1;10,6654375865307;56,24524917;12
"73";24,9802959814456;1,09861228866811;77;0;9,62450089845157;55,76129972;20
"74";26,4435776135538;1,38629436111989;67;2;7,28961052145117;33,96018155;29
"75";24,8539262562842;1,38629436111989;78;2;9,62575581093752;47,1697594;19
"76";24,3870556706803;1,6094379124341;74;2;8,64488255255713;49,60412473;21
"77";26,0751239704225;1,09861228866811;76;2;8,81150325015824;56,64270058;18
"78";26,5162794453306;1,09861228866811;71;2;8,04654935728308;40,89235359;21
"79";26,9885670496841;1,6094379124341;78;2;9,53683442021335;48,56817777;11
"80";26,1214285384642;2,19722457733622;81;2;9,97534298963656;50,95628283;8
"82";28,1134472651728;1,38629436111989;83;2;10,361450229602;54,73128327;7
"83";22,9922693257313;1,38629436111989;72;2;8,16337131645991;35,64684857;10
"84";23,1486930032363;3,09104245335832;76;2;8,59987855803485;45,97299899;11
"85";26,0798521116184;1,6094379124341;75;2;9,28804187964004;46,5019408;10
"87";27,2585071079601;1,79175946922805;75;0;9,94290055489296;41,81232223;18
"88";24,5101886713578;2,56494935746154;76;2;8,74576199937551;45,85215938;9
"89";26,558076574009;1,38629436111989;83;2;11,0172183123359;62,31160641;9
"91";24,6061004229934;1,94591014905531;81;2;10,0647982524184;49,80265081;10
"92";26,5811989914299;3,29583686600433;64;2;8,7212762399917;39,81897091;21
"93";27,9010482531416;2,83321334405622;83;1;10,2460128608704;49,46438792;8
"95";21,8895568692135;1,94591014905531;71;2;8,63533171943328;37,23041003;19
"96";27,0166851157929;1,94591014905531;82;1;10,8928800362083;53,05390955;12
"97";27,2453586351166;1,6094379124341;84;2;11,2953911524205;58,21017672;10
"98";26,8457586464608;0;77;1;8,7937637591133;55,61426524;11
"99";27,4720253844381;2,39789527279837;77;2;9,26046298137939;39,40055061;16
"100";24,1493661033341;0,693147180559945;63;2;6,61606518513282;37,13522745;37,9817970475165
"101";25,4417647082415;2,30258509299405;72;2;7,87891291229713;45,972936;9
"102";26,6791032064112;0,693147180559945;78;0;10,6126311061807;69,1964037726329;10
"103";28,6130995883407;1,38629436111989;81;1;10,6056192511675;51,49047306;11
"105";24,8097477113607;2,07944154167984;78;2;9,75973264889099;50,87143104;14
"106";24,8035105505323;1,79175946922805;71;2;7,51043055637801;46,44235935;22
"107";26,0315335343476;1,94591014905531;72;2;8,83535457973405;44,04524619;18
