Country;GDP;Population;Unemployment;Area, km 2;Average life expectancy, years;Constitutional form
Afghanistan;19101353832,74;38041754,00;11,12;647500,00;43,80;Republic
Angola;94635415869,99;31825295,00;6,89;1246700,00;37,70;Republic
Albania;15278077446,86;2854191,00;12,33;28748,00;77,80;Republic
Andorra;3154057987,24;77142,00;;468,00;82,80;Constitutional monarchy
United Arab Emirates;421142267937,65;9770529,00;2,35;83600,00;75,80;Absolute monarchy
Argentina;449663446954,07;44938712,00;9,79;2760990,00;76,40;Republic
Armenia;13672802157,83;2957731,00;16,99;29800,00;72,40;Republic
Antigua and Barbuda;1727759259,26;97118,00;;442,00;72,50;Constitutional monarchy
Australia;1392680589329,14;25364307,00;5,27;7686850,00;80,70;Constitutional monarchy
Austria;446314739528,47;8877067,00;4,67;83871,00;79,30;Republic
Azerbaijan;48047647058,82;10023318,00;5,51;86600,00;66,30;Republic
Burundi;3012334881,64;11530580,00;1,43;27830,00;51,30;Republic
Belgium;529606710418,04;11484055,00;5,59;32545,00;79,00;Constitutional monarchy
Benin;14390709094,94;11801151,00;2,23;112620,00;53,50;Republic
Burkina Faso;15745810234,66;20321378,00;6,26;274400,00;49,30;Republic
Bangladesh;302571254131,14;163046161,00;4,19;144000,00;62,90;Republic
Bulgaria;67927179736,69;6975761,00;4,34;110910,00;73,20;Republic
Bahrain;38574069148,94;1641172,00;0,71;695,00;74,80;Constitutional monarchy
Bahamas, The;12827000000,00;389482,00;10,36;13940,00;65,70;Constitutional monarchy
Bosnia and Herzegovina;20047848434,55;3301000,00;18,42;51129,00;78,30;Republic
Belarus;63080457022,66;9466856,00;4,59;207600,00;70,20;Republic
Belize;1879613600,00;390353,00;6,41;23000,00;68,30;Constitutional monarchy
Bolivia;40895322865,41;11513100,00;3,50;1098580,00;66,30;Republic
Brazil;1839758040765,62;211049527,00;12,08;8547000,00;72,80;Republic
Barbados;5209000000,00;287025,00;10,33;430,00;73,00;Constitutional monarchy
Brunei Darussalam;13469422941,39;433285,00;9,12;5770,00;75,40;Absolute monarchy
Bhutan;2840000000,00;763092,00;2,34;46500,00;55,20;Constitutional monarchy
Botswana;18340510789,43;2303697,00;18,19;600370,00;50,60;Republic
Central African Republic;2220307368,70;4745185,00;3,68;622984,00;43,80;Republic
Canada;1736425629519,96;37589262,00;5,56;9984670,00;80,50;Constitutional monarchy
Switzerland;703082435360,12;8574832,00;4,58;41290,00;80,70;Republic
Chile;282318159744,65;18952038,00;7,09;756950,00;77,10;Republic
China;14342902842915,90;1397715000,00;4,32;9596960,00;73,00;Republic
Cote d'Ivoire;58792205642,15;25716544,00;3,32;322460,00;49,10;Republic
Cameroon;38760467033,39;25876380,00;3,38;475440,00;53,00;Republic
Congo, Dem. Rep.;47319624204,09;86790567,00;4,24;2345410,00;57,30;Republic
Congo, Rep.;10820591130,73;5380508,00;9,47;342000,00;53,30;Republic
Colombia;323802808108,25;50339443,00;9,71;1138910,00;72,30;Republic
Comoros;1185728676,65;850886,00;4,34;2170,00;62,80;Republic
Costa Rica;61773944173,67;5047561,00;11,85;51100,00;77,30;Republic
Cuba;100023000000,00;11333483,00;1,64;110992,00;76,00;Republic
Cyprus;24564647934,62;1198575,00;7,27;9250,00;78,10;Republic
Czech Republic;246489245494,88;10669709,00;1,93;78866,00;76,50;Republic
Germany;3845630030823,52;83132799,00;3,04;357022,00;79,10;Republic
Djibouti;3318716359,44;973560,00;10,30;23000,00;43,30;Republic
Dominica;596033333,33;71808,00;;754,00;75,20;Republic
Denmark;348078018463,91;5818553,00;4,91;43094,00;78,10;Constitutional monarchy
Dominican Republic;88941298257,72;10738958,00;5,84;48730,00;73,10;Republic
Algeria;169988236398,13;43053054,00;11,70;2381740,00;73,50;Republic
Ecuador;107435665000,00;17373662,00;3,97;283560,00;76,70;Republic
Egypt, Arab Rep.;303175127597,52;100388073,00;10,76;1001450,00;71,60;Republic
Eritrea;6219000000,00;3497117,00;5,14;121320,00;59,60;Republic
Spain;1394116310768,63;47076781,00;13,96;504782,00;79,90;Constitutional monarchy
Estonia;31386949981,24;1326590,00;5,11;45226,00;72,50;Republic
Ethiopia;96107662398,17;112078730,00;2,08;1104300,00;49,30;Republic
Finland;268761201364,71;5520314,00;6,59;338145,00;78,80;Republic
Fiji;5535548972,41;889953,00;4,10;18270,00;70,20;Republic
France;2715518274227,45;67059887,00;8,43;547030,00;81,00;Republic
Gabon;16657960228,09;2172579,00;20,00;267667,00;54,10;Republic
United Kingdom;2827113184695,58;66834405,00;3,85;244101,00;78,80;Constitutional monarchy
Georgia;17743195770,20;3720382,00;14,40;69700,00;76,60;Republic
Ghana;66983634223,94;30417856,00;4,33;238540,00;59,60;Republic
Guinea;13590281808,69;12771246,00;4,30;245857,00;49,70;Republic
Gambia, The;1763819047,70;2347706,00;9,06;11300,00;54,60;Republic
Guinea-Bissau;1340389410,76;1920922,00;2,47;36120,00;47,20;Republic
Equatorial Guinea;11026774945,34;1355986,00;6,43;28051,00;49,60;Republic
Greece;209852761468,68;10716322,00;17,24;131940,00;79,50;Republic
Grenada;1228170370,37;112003,00;;344,00;65,30;Constitutional monarchy
Guatemala;76710385879,66;16604026,00;2,46;108890,00;69,70;Republic
Guyana;4280443645,08;782766,00;11,85;214970,00;66,30;Republic
Honduras;25095395475,04;9746117,00;5,39;112090,00;69,40;Republic
Croatia;60415553038,88;4067500,00;6,93;56542,00;75,10;Republic
Haiti;8498981820,87;11263077,00;13,78;27750,00;57,10;Republic
Hungary;160967157503,61;9769949,00;3,40;93030,00;73,10;Republic
Indonesia;1119190780752,80;270625568,00;4,69;1919440,00;70,30;Republic
India;2875142314811,85;1366417754,00;5,36;3287590,00;68,80;Republic
Ireland;388698711348,16;4941444,00;4,93;70273,00;78,00;Republic
Iran, Islamic Rep.;458500000000,00;82913906,00;11,38;1648195,00;70,60;Republic
Iraq;234094042938,92;39309783,00;12,82;437072,00;69,40;Republic
Iceland;24188035738,78;361313,00;2,84;103125,00;80,50;Republic
Israel;395098666121,62;9053300,00;3,86;26900,00;79,90;Republic
Italy;2001244392041,57;60297396,00;9,89;301230,00;80,10;Republic
Jamaica;16458071067,82;2948279,00;8,00;10991,00;73,20;Constitutional monarchy
Jordan;43743661971,83;10101694,00;14,72;92300,00;78,60;Constitutional monarchy
Japan;5081769542379,77;126264931,00;2,29;377835,00;82,20;Constitutional monarchy
Kazakhstan;180161741180,15;18513930,00;4,59;2717300,00;67,40;Republic
Kenya;95503088538,09;52573973,00;2,64;582650,00;55,30;Republic
Kyrgyz Republic;8454619607,82;6456900,00;6,33;198500,00;68,90;Republic
Cambodia;27089389786,97;16486542,00;0,68;181040,00;61,40;Constitutional monarchy
Kiribati;194647201,95;117606,00;;726,00;62,50;Republic
St. Kitts and Nevis;1050992592,59;52823,00;;261,00;72,80;Constitutional monarchy
Korea, Rep.;1642383217167,26;51709098,00;4,15;99274,00;79,10;Republic
Kuwait;134761198945,98;4207083,00;2,18;17818,00;77,40;Constitutional monarchy
Lao PDR;18173839128,27;7169455,00;0,63;236800,00;55,90;Republic
Lebanon;53367042272,17;6855713,00;6,23;10452,00;73,30;Republic
Liberia;3070518100,00;4937374,00;2,81;111370,00;40,40;Republic
Libya;52076250947,58;6777452,00;18,56;1759540,00;76,90;Republic
St. Lucia;2122450629,63;182790,00;20,71;616,00;74,20;Constitutional monarchy
Liechtenstein;5300000000,00;38019,00;;160,00;79,80;Constitutional monarchy
Sri Lanka;84008783756,07;21803000,00;4,20;65610,00;74,90;Republic
Lesotho;2460072443,63;2125268,00;23,41;30355,00;40,00;Constitutional monarchy
Lithuania;54219315600,09;2786844,00;6,35;65200,00;74,60;Republic
Luxembourg;71104919108,14;619896,00;5,36;2586,00;79,20;Constitutional monarchy
Latvia;34117202555,07;1912789,00;6,52;64589,00;71,80;Republic
Morocco;118725279596,13;36471769,00;9,02;446550,00;71,30;Constitutional monarchy
Monaco;7185000000,00;38964,00;;2,00;80,00;Constitutional monarchy
Moldova;11955435456,80;2657637,00;5,47;33843,00;70,30;Republic
Madagascar;14083906356,62;26969307,00;1,76;587041,00;62,20;Republic
Maldives;5729248472,24;530953,00;6,14;298,00;64,80;Republic
Mexico;1258286717124,53;127575529,00;3,42;1972550,00;76,00;Republic
Marshall Islands;215000000,00;58791,00;;181,00;70,70;Republic
Mali;17510141171,34;19658031,00;7,22;1240000,00;49,60;Republic
Malta;14786156563,30;502653,00;3,47;316,00;79,30;Republic
Myanmar;76085852617,14;54045420,00;1,58;678500,00;62,20;Republic
Montenegro;5494736901,03;622137,00;14,88;13812,00;74,60;Republic
Mongolia;13852850259,49;3225167,00;6,01;1564116,00;67,10;Republic
Mozambique;14934159925,52;30366036,00;3,24;801590,00;40,90;Republic
Mauritania;7593752450,21;4525696,00;9,55;1030700,00;53,40;Republic
Mauritius;14180444557,20;1265711,00;6,67;2040,00;72,90;Republic
Malawi;7666704427,01;18628747,00;5,65;118480,00;43,00;Republic
Malaysia;364701517787,84;31949777,00;3,32;329758,00;72,90;Constitutional monarchy
Namibia;12366527719,33;2494530,00;20,27;825418,00;43,10;Republic
Niger;12928145120,03;23310715,00;0,47;1267000,00;44,10;Republic
Nigeria;448120428858,77;200963599,00;8,10;923768,00;47,50;Republic
Nicaragua;12520915291,18;6545502,00;6,84;129494,00;71,00;Republic
Netherlands;909070395160,78;17332850,00;3,20;41526,00;79,10;Constitutional monarchy
Norway;403336363636,36;5347896,00;3,35;386000,00;79,90;Constitutional monarchy
Nepal;30641380604,30;28608710,00;1,41;147181,00;60,60;Republic
Nauru;118223430,12;12581,00;;21,00;63,60;Republic
New Zealand;206928765543,94;4917000,00;4,07;268680,00;79,10;Constitutional monarchy
Oman;76983094928,48;4974986,00;2,67;309500,00;73,70;Absolute monarchy
Pakistan;278221906022,84;216565318,00;4,45;803940,00;63,80;Republic
Panama;66800800000,00;4246439,00;3,90;75570,00;74,90;Republic
Peru;226848050819,53;32510453,00;3,31;1285220,00;70,20;Republic
Philippines;376795508679,68;108116615,00;2,15;298170,00;70,60;Republic
Palau;284000000,00;18008,00;;458,00;70,80;Republic
Papua New Guinea;24969611434,77;8776109,00;2,46;462840,00;65,70;Constitutional monarchy
Poland;592164400687,61;37970874,00;3,47;312685,00;76,70;Republic
Korea, Dem. People’s Rep.;17364000000,00;25666161,00;2,74;120540,00;72,00;Republic
Portugal;237686075634,70;10269417,00;6,33;92391,00;78,00;Republic
Paraguay;38145288939,85;7044636,00;4,81;406750,00;75,40;Republic
Qatar;183466208791,21;2832067,00;0,09;11437,00;74,20;Absolute monarchy
Romania;250077444017,08;19356544,00;3,98;237500,00;72,00;Republic
Russian Federation;1699876578871,35;144373535,00;4,59;17075400,00;66,10;Republic
Rwanda;10122472590,17;12626950,00;1,03;26338,00;49,10;Republic
Saudi Arabia;792966838161,66;34268528,00;5,93;2218000,00;76,00;Absolute monarchy
Sudan;18902284475,61;42813238,00;16,53;2505810,00;49,10;Republic
Senegal;23578084052,01;16296364,00;6,60;196722,00;56,70;Republic
Singapore;372062527488,64;5703569,00;4,11;693,00;82,00;Republic
Solomon Islands;1425074225,78;669823,00;0,58;28896,00;73,20;Constitutional monarchy
Sierra Leone;3941474310,77;7813215,00;4,43;71740,00;40,70;Republic
El Salvador;27022640000,00;6453553,00;4,11;21040,00;71,90;Republic
San Marino;1590000000,00;33860,00;;61,00;82,00;Republic
Somalia;4721000000,00;15442905,00;11,35;637657,00;48,90;Republic
Serbia;51409167350,75;6944975,00;12,69;88361,00;75,20;Republic
Sao Tome and Principe;429016605,21;215056,00;13,37;1001,00;67,70;Republic
Suriname;3985250737,46;581372,00;7,33;163270,00;73,30;Republic
Slovak Republic;105422304975,58;5454073,00;5,56;48845,00;75,10;Republic
Slovenia;53742159516,93;2087946,00;4,20;20253,00;76,70;Republic
Sweden;530832908737,86;10285453,00;6,48;449964,00;80,70;Constitutional monarchy
Eswatini;4405405802,44;1148130,00;22,08;17364,00;;Absolute monarchy
Seychelles;1698843062,76;97625,00;;455,00;72,50;Republic
Syrian Arab Republic;59957000000,00;17070135,00;8,37;185180,00;70,70;Republic
Chad;11314951342,78;15946876,00;1,89;1284000,00;47,30;Republic
Togo;5459979416,67;8082366,00;2,04;56785,00;57,90;Republic
Thailand;543649976165,63;69625582,00;0,75;514000,00;72,60;Constitutional monarchy
Tajikistan;8116626794,26;9321018,00;11,02;143100,00;64,70;Republic
Turkmenistan;40760000000,00;5942089,00;3,91;488100,00;68,40;Republic
Timor-Leste;1673540300,00;1293119,00;4,55;14900,00;66,70;Republic
Tonga;490000000,00;104494,00;1,12;748,00;70,20;Constitutional monarchy
Trinidad and Tobago;24100202833,75;1394973,00;2,69;5128,00;75,50;Republic
Tunisia;38797709923,66;11694719,00;16,02;163610,00;75,40;Republic
Turkey;754411708202,62;83429615,00;13,49;780580,00;73,00;Republic
Tuvalu;47271463,33;11646,00;;26,00;68,70;Constitutional monarchy
Tanzania;63177068174,55;58005463,00;1,98;945090,00;50,70;Republic
Uganda;34387229486,40;44269594,00;1,84;236040,00;51,80;Republic
Ukraine;153781069118,15;44385155,00;8,88;603700,00;68,10;Republic
Uruguay;56045912952,34;3461734,00;8,73;176220,00;76,00;Republic
United States;21374418877706,70;328239523,00;3,68;9372610,00;78,10;Republic
Uzbekistan;57921286440,35;33580650,00;5,92;447400,00;65,10;Republic
St. Vincent and the Grenadines;825385185,19;110589,00;18,88;389,00;74,10;Constitutional monarchy
Venezuela, RB;202009000000,00;28515829,00;8,80;916445,00;73,40;Republic
Vietnam;261921244843,17;96462106,00;2,01;329560,00;71,20;Republic
Vanuatu;917058850,82;299882,00;4,39;12200,00;63,30;Republic
Samoa;850655017,22;197097,00;8,36;2860,00;71,40;Republic
Yemen, Rep.;73348000000,00;29161922,00;12,91;527968,00;62,60;Republic
South Africa;351431649241,44;58558270,00;28,18;1219912,00;42,50;Republic
Zambia;23064722446,35;17861030,00;11,43;752614,00;38,40;Republic
Zimbabwe;21440758800,00;14645468,00;4,95;390580,00;39,50;Republic
