"";"Country";"GDP";"Population";"Unemployment";"Area..km.2";"Average.life.expectancy..years";"Constitutional.form"
"1";"Afghanistan";19101353832,74;38041754;11,12;647500;43,8;"Republic"
"2";"Angola";94635415869,99;31825295;6,89;1246700;37,7;"Republic"
"3";"Albania";15278077446,86;2854191;12,33;28748;77,8;"Republic"
"4";"Andorra";3154057987,24;77142;7;468;82,8;"Constitutional monarchy"
"5";"United Arab Emirates";421142267937,65;9770529;2,35;83600;75,8;"Absolute monarchy"
"6";"Argentina";449663446954,07;44938712;9,79;2760990;76,4;"Republic"
"8";"Antigua and Barbuda";1727759259,26;97118;7;442;72,5;"Constitutional monarchy"
"9";"Australia";1392680589329,14;25364307;5,27;6508917,07157079;80,7;"Constitutional monarchy"
"11";"Azerbaijan";48047647058,82;10023318;5,51;86600;66,3;"Republic"
"12";"Burundi";3012334881,64;11530580;1,43;27830;51,3;"Republic"
"14";"Benin";14390709094,94;11801151;2,23;112620;53,5;"Republic"
"15";"Burkina Faso";15745810234,66;20321378;6,26;274400;49,3;"Republic"
"16";"Bangladesh";302571254131,14;163046161;4,19;144000;62,9;"Republic"
"17";"Bulgaria";67927179736,69;6975761;4,34;110910;73,2;"Republic"
"20";"Bosnia and Herzegovina";20047848434,55;3301000;18,42;51129;78,3;"Republic"
"22";"Belize";1879613600;390353;6,41;23000;68,3;"Constitutional monarchy"
"23";"Bolivia";40895322865,41;11513100;3,5;1098580;66,3;"Republic"
"24";"Brazil";1839758040765,62;211049527;12,08;6508917,07157079;72,8;"Republic"
"25";"Barbados";5,209e+09;287025;10,33;430;73;"Constitutional monarchy"
"26";"Brunei Darussalam";13469422941,39;433285;9,12;5770;75,4;"Absolute monarchy"
"27";"Bhutan";2,84e+09;763092;2,34;46500;55,2;"Constitutional monarchy"
"29";"Central African Republic";2220307368,7;4745185;3,68;622984;43,8;"Republic"
"30";"Canada";1736425629519,96;37589262;5,56;6508917,07157079;80,5;"Constitutional monarchy"
"31";"Switzerland";703082435360,12;8574832;4,58;41290;80,7;"Republic"
"33";"China";6316447852583,66;480907574,694296;4,32;6508917,07157079;73;"Republic"
"35";"Cameroon";38760467033,39;25876380;3,38;475440;53;"Republic"
"36";"Congo, Dem. Rep.";47319624204,09;86790567;4,24;2345410;57,3;"Republic"
"37";"Congo, Rep.";10820591130,73;5380508;9,47;342000;53,3;"Republic"
"38";"Colombia";323802808108,25;50339443;9,71;1138910;72,3;"Republic"
"39";"Comoros";1185728676,65;850886;4,34;2170;62,8;"Republic"
"40";"Costa Rica";61773944173,67;5047561;11,85;51100;77,3;"Republic"
"43";"Czech Republic";246489245494,88;10669709;1,93;78866;76,5;"Republic"
"44";"Germany";3845630030823,52;83132799;3,04;357022;79,1;"Republic"
"45";"Djibouti";3318716359,44;973560;10,3;23000;43,3;"Republic"
"46";"Dominica";596033333,33;71808;7;754;75,2;"Republic"
"47";"Denmark";348078018463,91;5818553;4,91;43094;78,1;"Constitutional monarchy"
"48";"Dominican Republic";88941298257,72;10738958;5,84;48730;73,1;"Republic"
"49";"Algeria";169988236398,13;43053054;11,7;2381740;73,5;"Republic"
"50";"Ecuador";107435665000;17373662;3,97;283560;76,7;"Republic"
"51";"Egypt, Arab Rep.";303175127597,52;100388073;10,76;1001450;71,6;"Republic"
"52";"Eritrea";6,219e+09;3497117;5,14;121320;59,6;"Republic"
"53";"Spain";1394116310768,63;47076781;13,96;504782;79,9;"Constitutional monarchy"
"55";"Ethiopia";96107662398,17;112078730;2,08;1104300;49,3;"Republic"
"56";"Finland";268761201364,71;5520314;6,59;338145;78,8;"Republic"
"57";"Fiji";5535548972,41;889953;4,1;18270;70,2;"Republic"
"59";"Gabon";16657960228,09;2172579;20;267667;54,1;"Republic"
"60";"United Kingdom";2827113184695,58;66834405;3,85;244101;78,8;"Constitutional monarchy"
"63";"Guinea";13590281808,69;12771246;4,3;245857;49,7;"Republic"
"64";"Gambia, The";1763819047,7;2347706;9,06;11300;54,6;"Republic"
"65";"Guinea-Bissau";1340389410,76;1920922;2,47;36120;47,2;"Republic"
"66";"Equatorial Guinea";11026774945,34;1355986;6,43;28051;49,6;"Republic"
"67";"Greece";209852761468,68;10716322;17,24;131940;79,5;"Republic"
"68";"Grenada";1228170370,37;112003;7;344;65,3;"Constitutional monarchy"
"69";"Guatemala";76710385879,66;16604026;2,46;108890;69,7;"Republic"
"70";"Guyana";4280443645,08;782766;11,85;214970;66,3;"Republic"
"71";"Honduras";25095395475,04;9746117;5,39;112090;69,4;"Republic"
"72";"Croatia";60415553038,88;4067500;6,93;56542;75,1;"Republic"
"73";"Haiti";8498981820,87;11263077;13,78;27750;57,1;"Republic"
"75";"Indonesia";1119190780752,8;270625568;4,69;1919440;70,3;"Republic"
"76";"India";2875142314811,85;480907574,694296;5,36;3287590;68,8;"Republic"
"77";"Ireland";388698711348,16;4941444;4,93;70273;78;"Republic"
"78";"Iran, Islamic Rep.";4,585e+11;82913906;11,38;1648195;70,6;"Republic"
"80";"Iceland";24188035738,78;361313;2,84;103125;80,5;"Republic"
"84";"Jordan";43743661971,83;10101694;14,72;92300;78,6;"Constitutional monarchy"
"85";"Japan";5081769542379,77;126264931;2,29;377835;82,2;"Constitutional monarchy"
"86";"Kazakhstan";180161741180,15;18513930;4,59;2717300;67,4;"Republic"
"88";"Kyrgyz Republic";8454619607,82;6456900;6,33;198500;68,9;"Republic"
"89";"Cambodia";27089389786,97;16486542;0,68;181040;61,4;"Constitutional monarchy"
"91";"St. Kitts and Nevis";1050992592,59;52823;7;261;72,8;"Constitutional monarchy"
"93";"Kuwait";134761198945,98;4207083;2,18;17818;77,4;"Constitutional monarchy"
"94";"Lao PDR";18173839128,27;7169455;0,63;236800;55,9;"Republic"
"95";"Lebanon";53367042272,17;6855713;6,23;10452;73,3;"Republic"
"96";"Liberia";3070518100;4937374;2,81;111370;40,4;"Republic"
"97";"Libya";52076250947,58;6777452;18,56;1759540;76,9;"Republic"
"98";"St. Lucia";2122450629,63;182790;20,71;616;74,2;"Constitutional monarchy"
"99";"Liechtenstein";5,3e+09;38019;7;160;79,8;"Constitutional monarchy"
"100";"Sri Lanka";84008783756,07;21803000;4,2;65610;74,9;"Republic"
"101";"Lesotho";2460072443,63;2125268;21,7599660716847;30355;40;"Constitutional monarchy"
"102";"Lithuania";54219315600,09;2786844;6,35;65200;74,6;"Republic"
"103";"Luxembourg";71104919108,14;619896;5,36;2586;79,2;"Constitutional monarchy"
"104";"Latvia";34117202555,07;1912789;6,52;64589;71,8;"Republic"
"106";"Monaco";7,185e+09;38964;7;2;80;"Constitutional monarchy"
"107";"Moldova";11955435456,8;2657637;5,47;33843;70,3;"Republic"
"108";"Madagascar";14083906356,62;26969307;1,76;587041;62,2;"Republic"
"110";"Mexico";1258286717124,53;127575529;3,42;1972550;76;"Republic"
"111";"Marshall Islands";2,15e+08;58791;7;181;70,7;"Republic"
"113";"Malta";14786156563,3;502653;3,47;316;79,3;"Republic"
"114";"Myanmar";76085852617,14;54045420;1,58;678500;62,2;"Republic"
"115";"Montenegro";5494736901,03;622137;14,88;13812;74,6;"Republic"
"116";"Mongolia";13852850259,49;3225167;6,01;1564116;67,1;"Republic"
"117";"Mozambique";14934159925,52;30366036;3,24;801590;40,9;"Republic"
"118";"Mauritania";7593752450,21;4525696;9,55;1030700;53,4;"Republic"
"119";"Mauritius";14180444557,2;1265711;6,67;2040;72,9;"Republic"
"120";"Malawi";7666704427,01;18628747;5,65;118480;43;"Republic"
"121";"Malaysia";364701517787,84;31949777;3,32;329758;72,9;"Constitutional monarchy"
"122";"Namibia";12366527719,33;2494530;20,27;825418;43,1;"Republic"
"124";"Nigeria";448120428858,77;200963599;8,1;923768;47,5;"Republic"
"125";"Nicaragua";12520915291,18;6545502;6,84;129494;71;"Republic"
"126";"Netherlands";909070395160,78;17332850;3,2;41526;79,1;"Constitutional monarchy"
"127";"Norway";403336363636,36;5347896;3,35;386000;79,9;"Constitutional monarchy"
"129";"Nauru";118223430,12;12581;7;21;63,6;"Republic"
"130";"New Zealand";206928765543,94;4917000;4,07;268680;79,1;"Constitutional monarchy"
"131";"Oman";76983094928,48;4974986;2,67;309500;73,7;"Absolute monarchy"
"132";"Pakistan";278221906022,84;216565318;4,45;803940;63,8;"Republic"
"133";"Panama";66800800000;4246439;3,9;75570;74,9;"Republic"
"134";"Peru";226848050819,53;32510453;3,31;1285220;70,2;"Republic"
"135";"Philippines";376795508679,68;108116615;2,15;298170;70,6;"Republic"
"136";"Palau";2,84e+08;18008;7;458;70,8;"Republic"
"137";"Papua New Guinea";24969611434,77;8776109;2,46;462840;65,7;"Constitutional monarchy"
"138";"Poland";592164400687,61;37970874;3,47;312685;76,7;"Republic"
"139";"Korea, Dem. People’s Rep.";1,7364e+10;25666161;2,74;120540;72;"Republic"
"140";"Portugal";237686075634,7;10269417;6,33;92391;78;"Republic"
"141";"Paraguay";38145288939,85;7044636;4,81;406750;75,4;"Republic"
"142";"Qatar";183466208791,21;2832067;0,09;11437;74,2;"Absolute monarchy"
"143";"Romania";250077444017,08;19356544;3,98;237500;72;"Republic"
"144";"Russian Federation";1699876578871,35;144373535;4,59;6508917,07157079;66,1;"Republic"
"145";"Rwanda";10122472590,17;12626950;1,03;26338;49,1;"Republic"
"146";"Saudi Arabia";792966838161,66;34268528;5,93;2218000;76;"Absolute monarchy"
"147";"Sudan";18902284475,61;42813238;16,53;2505810;49,1;"Republic"
"148";"Senegal";23578084052,01;16296364;6,6;196722;56,7;"Republic"
"149";"Singapore";372062527488,64;5703569;4,11;693;82;"Republic"
"150";"Solomon Islands";1425074225,78;669823;0,58;28896;73,2;"Constitutional monarchy"
"151";"Sierra Leone";3941474310,77;7813215;4,43;71740;40,7;"Republic"
"153";"San Marino";1,59e+09;33860;7;61;82;"Republic"
"154";"Somalia";4,721e+09;15442905;11,35;637657;48,9;"Republic"
"156";"Sao Tome and Principe";429016605,21;215056;13,37;1001;67,7;"Republic"
"159";"Slovenia";53742159516,93;2087946;4,2;20253;76,7;"Republic"
"161";"Eswatini";4405405802,44;1148130;21,7599660716847;17364;67;"Absolute monarchy"
"162";"Seychelles";1698843062,76;97625;7;455;72,5;"Republic"
"163";"Syrian Arab Republic";5,9957e+10;17070135;8,37;185180;70,7;"Republic"
"164";"Chad";11314951342,78;15946876;1,89;1284000;47,3;"Republic"
"167";"Tajikistan";8116626794,26;9321018;11,02;143100;64,7;"Republic"
"168";"Turkmenistan";4,076e+10;5942089;3,91;488100;68,4;"Republic"
"170";"Tonga";4,9e+08;104494;1,12;748;70,2;"Constitutional monarchy"
"171";"Trinidad and Tobago";24100202833,75;1394973;2,69;5128;75,5;"Republic"
"172";"Tunisia";38797709923,66;11694719;16,02;163610;75,4;"Republic"
"173";"Turkey";754411708202,62;83429615;13,49;780580;73;"Republic"
"175";"Tanzania";63177068174,55;58005463;1,98;945090;50,7;"Republic"
"176";"Uganda";34387229486,4;44269594;1,84;236040;51,8;"Republic"
"177";"Ukraine";153781069118,15;44385155;8,88;603700;68,1;"Republic"
"178";"Uruguay";56045912952,34;3461734;8,73;176220;76;"Republic"
"179";"United States";6316447852583,66;328239523;3,68;6508917,07157079;78,1;"Republic"
"180";"Uzbekistan";57921286440,35;33580650;5,92;447400;65,1;"Republic"
"181";"St. Vincent and the Grenadines";825385185,19;110589;18,88;389;74,1;"Constitutional monarchy"
"182";"Venezuela, RB";2,02009e+11;28515829;8,8;916445;73,4;"Republic"
"183";"Vietnam";261921244843,17;96462106;2,01;329560;71,2;"Republic"
"184";"Vanuatu";917058850,82;299882;4,39;12200;63,3;"Republic"
"185";"Samoa";850655017,22;197097;8,36;2860;71,4;"Republic"
"186";"Yemen, Rep.";7,3348e+10;29161922;12,91;527968;62,6;"Republic"
"188";"Zambia";23064722446,35;17861030;11,43;752614;38,4;"Republic"
"189";"Zimbabwe";21440758800;14645468;4,95;390580;39,5;"Republic"
